countries,year,cur_conv
United States of America,1970,1
United States of America,1971,1
United States of America,1972,1
United States of America,1973,1
United States of America,1974,1
United States of America,1975,1
United States of America,1976,1
United States of America,1977,1
United States of America,1978,1
United States of America,1979,1
United States of America,1980,1
United States of America,1981,1
United States of America,1982,1
United States of America,1983,1
United States of America,1984,1
United States of America,1985,1
United States of America,1986,1
United States of America,1987,1
United States of America,1988,1
United States of America,1989,1
United States of America,1990,1
India,1970,7.5
India,1971,7.49
India,1972,7.59
India,1973,7.74
India,1974,8.1
India,1975,8.38
India,1976,8.96
India,1977,8.74
India,1978,8.19
India,1979,8.13
India,1980,7.86
India,1981,8.66
India,1982,9.46
India,1983,10.1
India,1984,11.36
India,1985,12.37
India,1986,12.61
India,1987,12.96
India,1988,13.92
India,1989,16.23
India,1990,17.5
Nigeria,1970,0.71
Nigeria,1971,0.71
Nigeria,1972,0.66
Nigeria,1973,0.66
Nigeria,1974,0.63
Nigeria,1975,0.62
Nigeria,1976,0.63
Nigeria,1977,0.64
Nigeria,1978,0.64
Nigeria,1979,0.6
Nigeria,1980,0.55
Nigeria,1981,0.62
Nigeria,1982,0.67
Nigeria,1983,0.72
Nigeria,1984,0.77
Nigeria,1985,0.89
Nigeria,1986,1.75
Nigeria,1987,4.02
Nigeria,1988,4.54
Nigeria,1989,7.36
Nigeria,1990,8.04
Philippines,1970,5.9
Philippines,1971,6.43
Philippines,1972,6.67
Philippines,1973,6.76
Philippines,1974,6.79
Philippines,1975,7.25
Philippines,1976,7.44
Philippines,1977,7.4
Philippines,1978,7.37
Philippines,1979,7.38
Philippines,1980,7.51
Philippines,1981,7.9
Philippines,1982,8.54
Philippines,1983,11.11
Philippines,1984,16.7
Philippines,1985,18.61
Philippines,1986,20.39
Philippines,1987,20.57
Philippines,1988,21.09
Philippines,1989,21.74
Philippines,1990,24.31
