Category,Function name,Description
parameter estimation,mc.eval.fd.likelihood(),This function is used to set up the log likelihood function for any dataset. The function will return the log likelihood value for a set of parameters and a given set of observational data.
parameter estimation,mc.setup(),Returns a function for a specific dataset using mc.eval.fd.likelihood(). Function returned by mc.setup() is used to fit parameters using the maximization approach 
Data processing,recursive.partition(),A function that is used for clustering in coordance with the DIANA approach using any criteria variables described in the data set up section
Data processing,assign.sigma.Q(),Computes observational errors within clusters for staple and non staple food demand
Data processing,calc.pop.weight(),Calculates weights used in equation (7) for the least squares log likelihood function 
Food demand functions,calc.elas.actual(),Calculates elasticities using numerical derivatives for given prices and incomes.
