"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs","weight"
"Africa_Eastern",1971,47317.83,1.30868741832958,0.838632641649036,0.683636842932041,1.24672918411516,0.239366897310487,0.59784789800604,0.40215210199396,"1.1.1",0.00290589637080143,0.00300234214134675,0.0350977048608723
"Africa_Northern",1971,57123.73,1.73032910744444,0.658016568770982,0.71875691111205,1.54202225957584,0.141421280021674,0.700906838419103,0.299093161580897,"1.2.1.1",0.00292687777084645,0.00791170108010166,0.0423711699393687
"Africa_Southern",1971,47429.64,1.88388123821469,0.514894177775754,0.508452583034954,1.35610547792477,0.167269775147727,0.724802633604457,0.275197366395543,"1.3.1.1.1",9.30122855707251e-05,0.00441414220224479,0.0351806392300201
"Africa_Western",1971,117689.28,1.65680132413808,0.615373901684164,0.703030920928632,1.25150271825947,0.27801559437856,0.67037248465689,0.32962751534311,"1.4.1.1",0.0103158422844758,0.0714819497733074,0.0872952883665325
"Argentina",1971,24366.44,8.84567831559992,1.684,1.15477936435911,1.151,0.260987947191806,0.405996472663139,0.594003527336861,"2.1.1.1",0.0915369428174521,0.0167574997493067,0.0180736546800678
"Australia_NZ",1971,16022.4,18.7363696189822,1.98396271719593,2.56288614120137,0.862293658253445,0.781487894193919,0.302957128420066,0.697042871579934,"3.1",0.00457160772804072,0.0110687786684055,0.011884515125965
"Brazil",1971,98402.2,4.14756768214367,1.164,1.00190602446609,1.113,0.444048083360425,0.488801054018445,0.511198945981555,"2.2.1.1",0.0169826313112573,0.00269755016332827,0.0729892172413766
"Canada",1971,21790.34,18.4364521811098,1.84,2.32160588296759,0.735,0.681766417610973,0.285436893203883,0.714563106796116,"3.2",0.00249168038638622,0.0205923927905072,0.0161628485950869
"Central America and Caribbean",1971,24123.67,3.14194596840522,0.894875154153576,1.27587392153341,1.03520550977525,0.410297241675385,0.53635349502337,0.46364650497663,"2.3.1",0.001473068856269,0.00195460969496566,0.0178935815488808
"China",1971,829367.78,0.513671511713495,0.304,0.836973814575504,1.497,0.194800959088538,0.831204886174348,0.168795113825652,"1.5",0.00278216666666667,0.0163706666666667,0.615178370680923
"Colombia",1971,22611.99,3.87541427197139,0.93,0.816827378540121,0.895,0.407995722692639,0.49041095890411,0.50958904109589,"2.2.1.2",0.003114125,0.00180192857142857,0.0167723023506572
"EU-12",1971,52922.93,6.1344091796703,1.48243033993016,1.26116495547999,1.56546056784838,0.289585060316403,0.513620931724675,0.486379068275325,"2.1.2.1.1",0.0427278428557526,0.00711768587369214,0.0392552527770738
"EU-15",1971,332684.31,14.9657313318887,1.76498877611631,2.75983501924844,1.00986891578987,0.713903840039232,0.363935389816744,0.636064610183256,"4",0.167301273478823,0.142181951454113,0.24676650903524
"European Free Trade Association",1971,10333.43,26.8546362438634,2.08559901794467,4.23553244490655,0.87867739656629,1.06531924535754,0.296422220365455,0.703577779634545,"5.1.1",0.00463587946944564,0.000807668991967349,0.00766475716110573
"HongKong_Macau",1971,4005.76,9.97815868342328,1.357,1.64243696109575,1.285,0.572363261135783,0.486373959121877,0.513626040878123,"2.4",0.0305663654495461,0.0255248910645402,0.00297124746049191
"India",1971,566605.4,0.944305088454556,0.538,0.554807749671015,1.313,0.17693870423362,0.709346299297677,0.290653700702323,"1.3.2.1",0.00941522957756466,0.0225511159899729,0.420276016498992
"Indonesia",1971,117921.99,0.920569710462811,0.374,0.469269051390141,1.508,0.210131167612887,0.801275239107333,0.198724760892667,"1.1.2",0.0142124322237157,0.0146250392439649,0.0874678995555531
"Japan",1971,105142.88,13.7924320577973,0.959,3.52340864865915,1.403,1.24333405135601,0.593988145639289,0.406011854360711,"6",0.00145987777777778,0.00187084444444444,0.0779890745298784
"Mexico",1971,53719.55,7.10799263978856,1.005,1.218263592873,1.401,0.253425841483001,0.582294264339152,0.417705735660848,"2.1.1.1",0.0915369428174521,0.0167574997493067,0.0398461406864785
"Middle East",1971,53471.18,12.7945743493302,0.847553053813288,1.54891904905606,1.2575872647658,0.401260713083485,0.5973888076091,0.4026111923909,"2.5.1",0.00783730727162349,0.0108712093822238,0.0396619137902685
"Pakistan",1971,59690.47,1.23837213093594,0.606,0.547022720506627,1.43,0.133428461580804,0.702357563850688,0.297642436149312,"1.3.3.1.1.1",0.0164431979588511,0.0144693827298514,0.0442750333028111
"South Africa",1971,23106.81,8.2939956118135,1.019,1.24920943511572,1.602,0.541691310308005,0.611217092712705,0.388782907287295,"2.6.1.1",0.000909799999999996,0.00102070000000001,0.0171393319950694
"South America_Northern",1971,12310.42,10.5331114404041,1.13700907198942,1.42388083769552,0.979507763341949,0.482453099075493,0.46279233266226,0.53720766733774,"2.4",0.0305663654495461,0.0255248910645402,0.0091311771455576
"South America_Southern",1971,39648.97,4.52021755758752,1.00946415304105,1.1391684848088,1.15976148207633,0.463467656409321,0.534643083366279,0.465356916633721,"2.3.2",0.00377623448836585,0.00123112933308174,0.0294093758546742
"South Asia",1971,91518.43,0.907207109266713,0.320672799238361,0.511190299695483,1.60314130793109,0.210149604613437,0.833314041079482,0.166685958920518,"1.1.2",0.0142124322237157,0.0146250392439649,0.0678832238390983
"South Korea",1971,32087.88,2.86158281995491,0.331,3.00878024374336,2.315,0.805297195691165,0.874905517762661,0.125094482237339,"7",0.0124049444444444,0.0181287777777777,0.0238009845728574
"Southeast Asia",1971,141078.65,1.82604629289965,0.48787607359441,1.27464994464548,1.46589211819081,0.247027267756004,0.750289683471291,0.249710316528709,"1.6",0.00954657831914733,0.0102999027788261,0.104644207476765
"USA",1971,211357.91,20.6244900269441,1.938,2.22252437026418,0.704,0.527754464685931,0.266464799394398,0.733535200605602,"8.1",0.0246065,0.0497157,0.156773409625733
"Africa_Eastern",1972,48780.93,1.27135877587468,0.841010668103294,0.677134169902915,1.25819066118666,0.216281462197986,0.599366360735031,0.400633639264969,"1.1.3",0.00813883718342168,0.0093693925388653,0.036182950147521
"Africa_Northern",1972,58330.23,1.79336207607207,0.655032048047813,0.727240451645974,1.56253918697046,0.141080381586692,0.704617358980842,0.295382641019158,"1.2.1.1",0.00292687777084645,0.00791170108010166,0.0432660837787109
"Africa_Southern",1972,48808.1,1.93792295692341,0.509457463822603,0.509638399078615,1.3489822031589,0.16832827505829,0.725868171631276,0.274131828368724,"1.3.1.1.1",9.30122855707251e-05,0.00441414220224479,0.0362031033253203
"Africa_Western",1972,120472.91,1.66523709473604,0.568818161111905,0.723407933351155,1.16806618160049,0.267771482491026,0.672506598669885,0.327493401330115,"1.4.1.2",0.00537388494889891,0.00742223001360272,0.0893600285328053
"Argentina",1972,24782.95,8.87800037616999,1.672,1.12397620966211,1.08,0.268323984635465,0.392441860465116,0.607558139534884,"2.1.3.1",0.0805627292598352,0.067705845464535,0.0183825983710951
"Australia_NZ",1972,16294.71,18.9350212438902,2.02677075750351,2.59890413290013,0.849642305999923,0.78088878341856,0.295382577968503,0.704617422031497,"3.1",0.00457160772804072,0.0110687786684055,0.0120864993676486
"Brazil",1972,100844.39,4.53303436511761,1.202,1.02215994215592,1.038,0.415062150110595,0.463392857142857,0.536607142857143,"2.2.1.1",0.0169826313112573,0.00269755016332827,0.0748006964202438
"Canada",1972,22142,19.1832247468952,1.854,2.3513708233621,0.747,0.736576820732641,0.28719723183391,0.71280276816609,"3.2",0.00249168038638622,0.0205923927905072,0.0164236902036597
"Central America and Caribbean",1972,24734.24,3.27231228680699,0.901960079630504,1.26386644759098,1.01840656757596,0.394729989528364,0.530318816491332,0.469681183508668,"2.2.2",0.103609961889483,0.0393031475080111,0.0183464680328321
"China",1972,849787.99,0.519851368349765,0.299,0.878480442689902,1.481,0.174643415361226,0.832022471910112,0.167977528089888,"1.5",0.00278216666666667,0.0163706666666667,0.630324933906181
"Colombia",1972,23146.8,4.07564600965057,0.936,0.814565492633075,0.885,0.39870926388589,0.485996705107084,0.514003294892916,"2.2.1.2",0.003114125,0.00180192857142857,0.0171689943277965
"EU-12",1972,53275.94,6.41439799263886,1.51716859843299,1.30390742468123,1.53821886953097,0.299461327276513,0.503444779315013,0.496555220684987,"2.1.2.1.1",0.0427278428557526,0.00711768587369214,0.0395170957397146
"EU-15",1972,334589.91,15.5630137406032,1.76702207762332,2.85576244742476,1.0030378153065,0.735966612591616,0.362099685233021,0.637900314766979,"4",0.167301273478823,0.142181951454113,0.248179975933085
"European Free Trade Association",1972,10412.93,27.6959236255346,2.14114103715285,4.12900340443737,0.891634846292062,1.07256264326996,0.293999583404515,0.706000416595485,"5.1.1",0.00463587946944564,0.000807668991967349,0.00772372578955804
"HongKong_Macau",1972,4068.41,10.8591891303295,1.364,1.69414009226526,1.335,0.483886545390356,0.494627639866617,0.505372360133383,"2.4",0.0305663654495461,0.0255248910645402,0.00301771770668734
"India",1972,579800.63,0.91708165474541,0.507,0.573521572414312,1.347,0.146934785292334,0.726537216828479,0.273462783171521,"1.3.4",0.0101051040114253,0.0174798726005461,0.43006349593563
"Indonesia",1972,121059.51,0.982124236449758,0.356,0.486837659789188,1.559,0.173790676923422,0.814099216710183,0.185900783289817,"1.3.1.2",0.0021143,0.0033127,0.0897951354189704
"Japan",1972,106616.54,14.7461574638966,1.009,3.49708680355224,1.401,1.01923697599263,0.581327800829875,0.418672199170124,"9",0.10716598696438,0.047343196751147,0.0790821526305705
"Mexico",1972,55480.13,7.48181421280193,1.021,1.27337681966555,1.399,0.254808439020522,0.578099173553719,0.421900826446281,"2.1.1.1",0.0915369428174521,0.0167574997493067,0.0411520399051019
"Middle East",1972,55185.09,14.0897291900395,0.87193036180606,1.53603453097143,1.27748715133019,0.385102798477594,0.594341091724979,0.405658908275021,"2.5.1",0.00783730727162349,0.0108712093822238,0.0409331958278872
"Pakistan",1972,61341.25,1.22200268536376,0.598,0.535374407432099,1.503,0.122284546512165,0.715373631603998,0.284626368396002,"1.3.3.1.1.1",0.0164431979588511,0.0144693827298514,0.0454994890572324
"South Africa",1972,23736.49,8.20758302628187,1.031,1.30157894111361,1.652,0.546751294190888,0.615728661945583,0.384271338054417,"2.6.1.1",0.000909799999999996,0.00102070000000001,0.0176063932021618
"South America_Northern",1972,12657.75,10.5267320097927,1.1101674515613,1.44111276273585,0.945861883826114,0.479390106478396,0.460042990411851,0.539957009588149,"2.4",0.0305663654495461,0.0255248910645402,0.00938880700367507
"South America_Southern",1972,40534.02,4.54706997919811,1.02552948782282,1.11171118061998,1.13174570718621,0.452984733549999,0.524618143204243,0.475381856795757,"2.3.2",0.00377623448836585,0.00123112933308174,0.0300658561642555
"South Asia",1972,93193.04,0.820546298122398,0.307867017644236,0.517193745939452,1.49872118186079,0.183343328102612,0.8295865002724,0.1704134997276,"1.3.2.2",0.00616552294908512,0.0202190674602677,0.0691253553471803
"South Korea",1972,32759.45,2.98537588986978,0.315,2.72385143927989,2.375,0.673970144159794,0.882899628252788,0.117100371747212,"4",0.167301273478823,0.142181951454113,0.0242991174258098
"Southeast Asia",1972,144850.75,1.87018484556396,0.482417040919705,1.27255697800851,1.47083815782797,0.204720747905351,0.753018939241014,0.246981060758986,"1.6",0.00954657831914733,0.0102999027788261,0.10744213909167
"USA",1972,213219.52,21.5699528746377,1.94,2.26591186859818,0.696,0.566602583039354,0.264036418816388,0.735963581183611,"8.2.1",0.000360666666666672,0.000594400000000003,0.158154247215835
"Africa_Eastern",1973,50297.61,1.25689275884661,0.820480244886387,0.708586575318711,1.25685010162511,0.243502173765239,0.60503140664929,0.39496859335071,"1.1.1",0.00290589637080143,0.00300234214134675,0.0373079380645152
"Africa_Northern",1973,59549.16,1.7774232538589,0.657652102565343,0.74718241429526,1.59058365575602,0.181428699454705,0.707480810172516,0.292519189827484,"1.1.3",0.00813883718342168,0.0093693925388653,0.0441702174929168
"Africa_Southern",1973,50251.65,1.96406091718238,0.506846005653546,0.530500431315266,1.40679425949198,0.177615207416253,0.73514039452185,0.26485960547815,"1.3.1.1.1",9.30122855707251e-05,0.00441414220224479,0.037273847521576
