"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs","weight"
"Australia_NZ",1971,16022.4,18.7363696189822,1.98396271719593,2.73731892946598,0.862293658253445,0.843467292816232,0.302957128420066,0.697042871579934,"3.1",0.00387960180969322,0.0097966298043131,0.011884515125965
"Canada",1971,21790.34,18.4364521811098,1.84,2.59957507543576,0.735,0.768163455626428,0.285436893203883,0.714563106796116,"3.1",0.00387960180969322,0.0097966298043131,0.0161628485950869
"China",1971,829367.78,0.513671511713495,0.304,1.02502264625869,1.497,0.205029252014397,0.831204886174348,0.168795113825652,"1.3",0.00250121818181818,0.0113312909090909,0.615178370680923
"European Free Trade Association",1971,10333.43,26.8546362438634,2.08559901794467,4.68150778604119,0.87867739656629,1.14144329460121,0.296422220365455,0.703577779634545,"5.1",0.179951464148825,0.0282038540280837,0.00766475716110573
"Japan",1971,105142.88,13.7924320577973,0.959,4.21978848241627,1.403,1.38662265675609,0.593988145639289,0.406011854360711,"7",0.179217425348535,0.0365453274210067,0.0779890745298784
"Middle East",1971,53471.18,12.7945743493302,0.847553053813288,1.86186379678131,1.2575872647658,0.424703964165234,0.5973888076091,0.4026111923909,"6.2",0.00810951699471073,0.00976638300494835,0.0396619137902685
"Pakistan",1971,59690.47,1.23837213093594,0.606,0.578333158222656,1.43,0.132878039927986,0.702357563850688,0.297642436149312,"1.2.3.2.1",0.0148910110969605,0.0126402805306166,0.0442750333028111
"South Africa",1971,23106.81,8.2939956118135,1.019,1.34967509872861,1.602,0.754062215762575,0.611217092712705,0.388782907287295,"8",0.00336753514961537,0.0239628904376734,0.0171393319950694
"South Asia",1971,91518.43,0.907207109266713,0.320672799238361,0.558656025920185,1.60314130793109,0.234499747467926,0.833314041079482,0.166685958920518,"1.1.3.1",0.00749177058141458,0.0104241387550404,0.0678832238390983
"USA",1971,211357.91,20.6244900269441,1.938,2.44340055576423,0.704,0.648954927861213,0.266464799394398,0.733535200605602,"10",0.00566591358328745,0.0120094322564952,0.156773409625733
"Australia_NZ",1972,16294.71,18.9350212438902,2.02677075750351,2.76600639691964,0.849642305999923,0.832406450673947,0.295382577968503,0.704617422031497,"3.1",0.00387960180969322,0.0097966298043131,0.0120864993676486
"Canada",1972,22142,19.1832247468952,1.854,2.63781265859852,0.747,0.828637627721436,0.28719723183391,0.71280276816609,"3.1",0.00387960180969322,0.0097966298043131,0.0164236902036597
"China",1972,849787.99,0.519851368349765,0.299,1.08497180424112,1.481,0.183607838653103,0.832022471910112,0.167977528089888,"1.3",0.00250121818181818,0.0113312909090909,0.630324933906181
"European Free Trade Association",1972,10412.93,27.6959236255346,2.14114103715285,4.61101793020883,0.891634846292062,1.14446555849935,0.293999583404515,0.706000416595485,"5.1",0.179951464148825,0.0282038540280837,0.00772372578955804
"Japan",1972,106616.54,14.7461574638966,1.009,4.15384696812305,1.401,1.14355967307956,0.581327800829875,0.418672199170124,"7",0.179217425348535,0.0365453274210067,0.0790821526305705
"Middle East",1972,55185.09,14.0897291900395,0.87193036180606,1.85028936551038,1.27748715133019,0.40570954821905,0.594341091724979,0.405658908275021,"6.2",0.00810951699471073,0.00976638300494835,0.0409331958278872
"Pakistan",1972,61341.25,1.22200268536376,0.598,0.561168654750528,1.503,0.121456864313848,0.715373631603998,0.284626368396002,"1.2.2.2",0.000910553571428571,0.00588685714285714,0.0454994890572324
"South Africa",1972,23736.49,8.20758302628187,1.031,1.38897229116539,1.652,0.765276238063563,0.615728661945583,0.384271338054417,"8",0.00336753514961537,0.0239628904376734,0.0176063932021618
"South Asia",1972,93193.04,0.820546298122398,0.307867017644236,0.564862164881857,1.49872118186079,0.20583344672494,0.8295865002724,0.1704134997276,"1.2.3.1.1",0.00733561172874764,0.0178218677054628,0.0691253553471803
"USA",1972,213219.52,21.5699528746377,1.94,2.49706789696573,0.696,0.699536995275803,0.264036418816388,0.735963581183611,"10",0.00566591358328745,0.0120094322564952,0.158154247215835
"Australia_NZ",1973,16542.18,19.4661277433506,1.96268772979136,2.86462361215739,0.804962527308976,1.04821093800383,0.290846910748158,0.709153089251842,"3.2",0.00452168426933844,0.000636953110874879,0.01227005869448
"Canada",1973,22488.74,20.2736847001944,1.846,2.89960694887779,0.757,1.15329069790414,0.290818286592393,0.709181713407607,"3.2",0.00452168426933844,0.000636953110874879,0.0166808824329622
"China",1973,869474.82,0.547769983809762,0.303,1.31966980749684,1.542,0.280165143232243,0.835772357723577,0.164227642276423,"1.3",0.00250121818181818,0.0113312909090909,0.644927517097045
"European Free Trade Association",1973,10483.9,28.4922740872252,2.15087574566717,4.92056130649309,0.882417294136724,1.33133779370267,0.29091066460027,0.70908933539973,"7",0.179217425348535,0.0365453274210067,0.00777636734378773
"Japan",1973,108085.73,15.7140942454265,0.995,4.75803193971821,1.403,1.70435514350453,0.585070892410342,0.414929107589658,"11",0.0012098,0.0025077,0.0801719151366817
"Middle East",1973,56970.05,14.9666456917419,0.875708404328239,1.82883213910995,1.3503446568855,0.532953955708708,0.606609375317063,0.393390624682937,"6.2",0.00810951699471073,0.00976638300494835,0.042257178759236
"Pakistan",1973,63062.2,1.26575892230847,0.615,0.566366372384791,1.483,0.161598332414766,0.706863679694948,0.293136320305052,"1.2.3.2.1",0.0148910110969605,0.0126402805306166,0.0467759929708801
"South Africa",1973,24384.54,8.35473829744287,1.08,1.30485420671349,1.636,0.810662804907336,0.602356406480118,0.397643593519882,"8",0.00336753514961537,0.0239628904376734,0.0180870802420173
"South Asia",1973,94792.28,0.835835726604379,0.30142306810217,0.578890103033804,1.59377544532107,0.288314638762436,0.840954355985792,0.159045644014208,"1.1.1.2",0.0222784156525101,0.0175453797719671,0.0703115816285144
"USA",1973,215092.9,22.6417339921728,1.917,2.72706361401053,0.707,0.887276708466583,0.269435975609756,0.730564024390244,"3.3",0.0266438111661211,0.0261125296154979,0.159543815129923
"Australia_NZ",1974,16767.97,19.5315525449587,1.86120962406302,2.75737642577186,0.811935506206177,1.1036562793045,0.303737906712312,0.696262093287688,"3.2",0.00452168426933844,0.000636953110874879,0.0124375370167221
"Canada",1974,22823.27,20.7812405676231,1.828,2.86310146526931,0.757,1.03549958704914,0.29284332688588,0.70715667311412,"3.2",0.00452168426933844,0.000636953110874879,0.016929017971027
"China",1974,888132.76,0.548364176611942,0.296,1.28896548172136,1.545,0.258127307752783,0.839217816404128,0.160782183595872,"1.3",0.00250121818181818,0.0113312909090909,0.658766927556736
"European Free Trade Association",1974,10540.81,28.9938620835872,2.06618819236852,4.9151556984432,0.841361839365286,1.31343860725763,0.289371405541583,0.710628594458417,"7",0.179217425348535,0.0365453274210067,0.00781857998083453
"Japan",1974,109495.05,15.3217714214924,1.008,4.60033390255318,1.377,1.56821545767252,0.577358490566038,0.422641509433962,"11",0.0012098,0.0025077,0.081217269444234
"Middle East",1974,58835.95,15.6985943801831,0.92859290229868,1.69615660028046,1.33547536310708,0.475042836573061,0.58985649130493,0.41014350869507,"6.2",0.00810951699471073,0.00976638300494835,0.043641198430043
"Pakistan",1974,64873.71,1.29488175177258,0.649,0.555116170795713,1.438,0.14915419834289,0.689027311931002,0.310972688068999,"1.2.3.2.1",0.0148910110969605,0.0126402805306166,0.0481196691989007
"South Africa",1974,25040.94,8.63291122836826,1.08,1.31278596748325,1.605,0.805076025633906,0.597765363128492,0.402234636871508,"8",0.00336753514961537,0.0239628904376734,0.0185739608422198
"South Asia",1974,96501.2,0.889947151002194,0.290020416740932,0.612546946008873,1.66113494599031,0.250409459250627,0.851359649630894,0.148640350369106,"1.1.3.1",0.00749177058141458,0.0104241387550404,0.0715791623648002
