"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs"
"Africa_Eastern",2001,187056.96,1.1318719247285,0.686168160863942,0.393956485937292,1.29620711750047,0.0962558898332167,0.653865658862495,0.346134341137505,"15.1",0.0694987816092823,0.0338470615688964
"Africa_Northern",2001,108636.6,4.57549706899696,1.13948031832734,0.412447574079841,2.12732348812463,0.0337597220449297,0.651194137806239,0.348805862193761,"14.1.5",0.0126257475010064,0.113505986261619
"Africa_Southern",2001,110851.06,1.76164966766096,0.571215466500726,0.298854139984321,1.38618920026565,0.0751926142860464,0.708177120347643,0.291822879652356,"8.7",0.0434943701838223,0.080835745297114
"Africa_Western",2001,257991.38,1.46113944556483,0.802593169314417,0.30941037617885,1.56846809436036,0.101782289840956,0.661504668137287,0.338495331862713,"15.1",0.0694987816092823,0.0338470615688964
"Argentina",2001,37471.54,9.26877965314354,1.899,0.391317095346505,1.136,0.051612427686668,0.374299835255354,0.625700164744646,"12.9",0.0958757286524201,0.0439782831728251
"Australia_NZ",2001,23215.59,31.5635373316299,2.13855640196954,0.409351548459579,0.786511702696335,0.0576345063861708,0.268886629149504,0.731113370850496,"16.3",0.0867912656933775,0.0176047962839138
"Brazil",2001,178419.4,7.22005772538095,1.744,0.347153965092057,1.031,0.048395906482601,0.371531531531532,0.628468468468468,"12.2.4",0.0380325666666666,0.0416342666666667
"Canada",2001,30991.34,33.5924555875765,2.269,0.40284846977668,1.021,0.0593938184160037,0.310334346504559,0.689665653495441,"16.1",0.005046720494955,0.00498443324448662
"Central America and Caribbean",2001,45320.77,4.77890994825926,1.27683338941505,0.346603114273267,1.06811572265873,0.0412144629618698,0.455496333442447,0.544503666557553,"14.1.3.1",0.0695363883849591,0.158642764216791
"Central Asia",2001,73959.07,3.80300118322964,0.935243614745291,0.4156860666612,1.46678161177527,0.0436070813798881,0.610643716635719,0.389356283364281,"14.1.5",0.0126257475010064,0.113505986261619
"China",2001,1277188.79,4.07417834168073,1.027,0.472939213282469,1.711,0.0525908574365708,0.62490869247626,0.37509130752374,"12.8",0.0968733447900068,0.127233170761025
"Colombia",2001,40988.91,6.24668703250313,1.405,0.369368536682104,1.033,0.0542613099444363,0.423707957342084,0.576292042657916,"12.5.3",0.0311756085930628,0.0285913153136029
"EU-12",2001,82762.3,12.3077997255547,1.76121209004583,0.370294778850625,1.24976521713389,0.0598767324926416,0.415069623458737,0.584930376541263,"12.6",0.0407725714891853,0.0217645530921165
"EU-15",2001,378647.74,28.9772917534762,2.21801976208811,0.419084109327359,1.02725913306653,0.0575642539450077,0.316539553688368,0.683460446311632,"16.3",0.0867912656933775,0.0176047962839138
"Europe_Eastern",2001,62387.86,4.64901977369586,1.39610461394252,0.3310331491025,1.48115685872219,0.0635368605428985,0.514780068754214,0.485219931245785,"12.3.1",0.0407098912831495,0.052267441025691
"European Free Trade Association",2001,11999.89,45.644815726176,2.236305709469,0.404092439852952,0.936400417837163,0.0536043174899315,0.295142499892427,0.704857500107573,"16.2",0.00340073666669037,0.000472203849104989
"HongKong_Macau",2001,6836.54,36.5897316817763,1.975,0.391170968785157,0.952,0.0308849516518936,0.325247693884523,0.674752306115477,"11.1.2",0.027798099910976,0.00338053616773102
"India",2001,1071888.19,2.08387309180315,0.775,0.284507236390632,1.471,0.0314042602497602,0.654942119323241,0.345057880676759,"5.1.8",0.0369705653147937,0.0316311941128365
"Indonesia",2001,214448.3,3.01467195496221,0.683,0.338008372261778,1.727,0.0396659991020933,0.716597510373444,0.283402489626556,"14.1.3.1",0.0695363883849591,0.158642764216791
"Japan",2001,125974.3,30.0670948202039,1.447,0.412472910755365,1.197,0.0410886137627173,0.452723146747352,0.547276853252648,"13.4.2",0.120901301752954,0.0474570385221915
"Mexico",2001,104239.56,11.4719467845621,1.567,0.358171399047128,1.434,0.0310483216598842,0.47784071976008,0.52215928023992,"14.1.2",0.0777618666666667,0.0249934666666667
"Middle East",2001,149988.42,11.3936926490113,1.2043192115098,0.405960595036216,1.59858985600355,0.0351753481049293,0.570332400195119,0.429667599804881,"14.1.4",0.0276580398132841,0.00678363503746296
"Pakistan",2001,141282.08,2.19973619441485,1.067,0.254778954022929,1.172,0.0397981209874234,0.523447967842787,0.476552032157213,"5.1.7",0.0246062666666667,0.0158268
"Russia",2001,145818.12,9.16605882406629,1.421,0.358852360199744,1.384,0.0582953392984401,0.493404634581105,0.506595365418895,"12.6",0.0407725714891853,0.0217645530921165
"South Africa",2001,45579.16,8.06227633493919,1.081,0.268497920155108,1.69,0.0316158503688093,0.609888127029953,0.390111872970047,"4.3.2",0.0748609444444444,0.0536385277777778
"South America_Northern",2001,25424.43,9.3319480768207,1.33450509608278,0.425625791544019,1.05865692092212,0.0506641616461625,0.442367425773811,0.557632574226189,"14.2",0.0488490761354244,0.131886484766452
"South America_Southern",2001,71702.65,6.05567605965666,1.18216361738374,0.409700915075194,1.19207912120403,0.0595931298417223,0.502088140285561,0.497911859714439,"12.5.2",0.0316627412697478,0.0572352932807795
"South Asia",2001,177117.17,1.48161417302126,0.441588884013899,0.269693811358696,1.83148821240764,0.0303620999790262,0.805730793421357,0.194269206578643,"5.1.8",0.0369705653147937,0.0316311941128365
"South Korea",2001,46492.32,21.0131420952019,1.276,0.46803337466827,1.515,0.0308852165106922,0.542816194912218,0.457183805087782,"10.6",0.0040232,0.0061363
"Southeast Asia",2001,267089.22,4.50735049775362,0.909851523659397,0.403850661404232,1.4389756320753,0.0333202665953767,0.612635812116707,0.387364187883293,"14.1.5",0.0126257475010064,0.113505986261619
"Taiwan",2001,22094.39,26.5882121173871,1.942,0.347150552564085,0.933,0.0386030484194453,0.324521739130435,0.675478260869565,"10.1",0.00832702376563093,0.00896006678735049
"USA",2001,285796.2,39.5037866880549,2.25,0.439488348759817,0.979,0.0559269510571313,0.303189842056364,0.696810157943636,"16.2",0.00340073666669037,0.000472203849104989
"Africa_Eastern",2002,192464.6,1.12793647719972,0.727416658284173,0.38750973260682,1.26958290049183,0.108620398428123,0.635745208311403,0.364254791688597,"15.1",0.0694987816092823,0.0338470615688964
"Africa_Northern",2002,110308.51,4.63993691271324,1.155210469709,0.423295112299759,2.13605455046034,0.0403696098573352,0.649007156023685,0.350992843976315,"14.1.5",0.0126257475010064,0.113505986261619
"Africa_Southern",2002,113646.14,1.79628761694625,0.61859267679483,0.325037278027513,1.37642984530755,0.0884893480774586,0.689931983252525,0.310068016747475,"8.5",0.000824092501302134,0.0243957174516137
"Africa_Western",2002,265028.75,1.5925611034603,0.819568385467614,0.311970054427904,1.55392320316192,0.123846016792786,0.654699266939119,0.345300733060881,"15.1",0.0694987816092823,0.0338470615688964
"Argentina",2002,37889.44,8.18108601138583,1.677,0.349145512439859,1.13,0.0582214290023033,0.40256501603135,0.59743498396865,"12.6",0.0407725714891853,0.0217645530921165
"Australia_NZ",2002,23476.08,32.2399996040911,2.08468754749515,0.397734782548734,0.836243925732064,0.0627275973619574,0.286293579084939,0.713706420915061,"16.1",0.005046720494955,0.00498443324448662
"Brazil",2002,181045.59,7.31225543741119,1.797,0.340654870738903,1.033,0.05636150631357,0.365017667844523,0.634982332155477,"12.6",0.0407725714891853,0.0217645530921165
"Canada",2002,31288.57,34.2272782765478,2.267,0.381130768725792,1.031,0.0660622263157195,0.312613705275925,0.687386294724075,"16.1",0.005046720494955,0.00498443324448662
"Central America and Caribbean",2002,46073.07,4.88519768658695,1.31886334251223,0.35003620930356,1.0696193557321,0.0481616058763554,0.447823782235614,0.552176217764386,"12.7",0.0844518594998083,0.109106686234641
"Central Asia",2002,74535.41,4.0351839257061,0.960148399666682,0.396492560457429,1.47824402401489,0.0519005693701321,0.606237129699979,0.393762870300021,"12.7",0.0844518594998083,0.109106686234641
"China",2002,1284349.94,4.41708170058242,1.058,0.442591713162597,1.698,0.059007928496055,0.61611030478955,0.38388969521045,"12.5.2",0.0316627412697478,0.0572352932807795
"Colombia",2002,41572.49,6.30091995654331,1.406,0.375022482675033,1.015,0.0598389423415885,0.419248244527055,0.580751755472945,"12.5.3",0.0311756085930628,0.0285913153136029
"EU-12",2002,82593.73,12.6843778381388,1.78196899813097,0.334950055471583,1.23692288434001,0.066092275009893,0.409727453812483,0.590272546187517,"12.3.2",0.0465610464121396,0.0192198514575702
"EU-15",2002,380370.81,29.1683048320318,2.20907691576018,0.40157763111118,1.04931476894875,0.0639708434754199,0.322034571188297,0.677965428811703,"16.1",0.005046720494955,0.00498443324448662
