"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share"
"Colombia",1991,34916.77,2.75943250191813,0.643711323860822,0.484862764707522,1.09902987743994,0.0488228963832649,0.630632865407461,0.369367134592539
"Colombia",1992,35558.68,2.81922079222288,0.66689761615109,0.506065650224195,1.12517121311389,0.0415605395457525,0.627861605949244,0.372138394050756
"Colombia",1993,36195.17,2.92779644355863,0.670465375587217,0.53773075919755,1.14853069684341,0.0557889326520977,0.631409113109679,0.368590886890321
"Colombia",1994,36823.54,3.02596762831602,0.691511891362286,0.52097765358659,1.16899737350857,0.0515820561434313,0.62832117828218,0.37167882171782
"Colombia",1995,37441.98,3.13081065691505,0.68639984799276,0.544320591053207,1.16516082661358,0.071414879499328,0.629285792571343,0.370714207428657
"Colombia",1996,38049.04,3.14419759342154,0.706805195603517,0.500090163398661,1.18430491791574,0.0818730048604733,0.626248524318772,0.373751475681228
"Colombia",1997,38645.41,3.20186744040237,0.727342159888537,0.568856360896407,1.19066501923762,0.084356230692809,0.620782357957642,0.379217642042358
"Colombia",1998,39234.06,3.17179817739994,0.69675196733417,0.563833381359662,1.17008138179827,0.0778699092552809,0.626773344467,0.373226655533
"Colombia",1999,39819.28,2.9937994860781,0.681168990327065,0.560538233228748,1.1886498598889,0.0462022375403686,0.63570321785536,0.36429678214464
"Colombia",2000,40403.96,3.03677387068,0.796417681119199,0.576802918007689,1.14648754806036,0.0403643521841255,0.590089280136681,0.409910719863319
"Colombia",2001,40988.91,3.04366327379772,0.795340424573178,0.62920852270824,1.17797774425741,0.0448541225532644,0.59695276862296,0.40304723137704
"Colombia",2002,41572.49,3.07608011932891,0.799227530862851,0.624950895713716,1.15737627313389,0.0486077661708073,0.591523061935035,0.408476938064965
"Colombia",2003,42152.15,3.15265081377818,0.791712954773964,0.691086007675642,1.16959176137833,0.0555157935085133,0.59633352826115,0.40366647173885
"Colombia",2004,42724.16,3.27632234314262,0.810250805427956,0.895502357872018,1.17077776524045,0.0519279298107862,0.590994891530224,0.409005108469776
"Colombia",2005,43285.64,3.38602524994432,0.822638736624008,0.903265772844128,1.11534335899154,0.0571931607874365,0.575517886111988,0.424482113888012
"Colombia",2006,43835.74,3.56746709420213,0.879874073298706,0.908471800534205,1.13165262887915,0.0745240523052898,0.562583945643836,0.437416054356164
"Colombia",2007,44374.65,3.76732977048833,0.890736250860493,0.994468156808358,1.16465732386483,0.0987403049116993,0.566634701103642,0.433365298896358
"Colombia",2008,44901.66,3.85516437476922,0.912739466086432,0.854735636999221,1.14507386274806,0.122367172863338,0.556451766884321,0.443548233115679
"Colombia",2009,45416.28,3.87442916945201,0.856147401189587,0.8556499544229,1.11043295851029,0.0953333718857187,0.564651707738886,0.435348292261114
"Colombia",2010,45918.1,3.98429007297776,0.899210105234117,0.956882572012271,1.06960588195546,0.101619101713435,0.543273667480875,0.456726332519124
"Colombia",2011,46406.45,4.20214452947812,0.838050839685325,1.10044861283897,1.10415492682236,0.115020355029801,0.568505637179608,0.431494362820392
"Colombia",2012,46881.02,4.32781901929608,0.85973549671996,1.2735887924833,1.10584592251642,0.123813856563407,0.562604993969692,0.437395006030308
"Colombia",2013,47342.36,4.49719722464195,0.897441348624772,1.45156702546803,1.11736957945404,0.123606299501026,0.554577883156256,0.445422116843744
