"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs"
"South Korea",1991,43358.72,11.7233309557439,0.871,0.228435437676506,1.634,0.0324038582380294,0.652295409181637,0.347704590818363,"1.13",0.0396825,0.0102081111111111
"South Korea",1992,43708.17,12.2710281762621,0.921,0.251530503807886,1.623,0.0295528483703354,0.637971698113208,0.362028301886792,"1.13",0.0396825,0.0102081111111111
"South Korea",1993,44031.22,12.9158394075123,0.855,0.286805367841425,1.605,0.0373696455074293,0.652439024390244,0.347560975609756,"1.14",0.0655941382163073,0.0458269393654595
"South Korea",1994,44342.53,13.9081587042958,0.905,0.284186657706556,1.565,0.0343310554768278,0.633603238866397,0.366396761133603,"1.14",0.0655941382163073,0.0458269393654595
"South Korea",1995,44652.99,14.9985665816275,0.887,0.33459452751424,1.623,0.0464508640933936,0.646613545816733,0.353386454183267,"6.3.2",0.10082194286606,0.0584815939432157
"South Korea",1996,44967.35,15.9239062820201,1.077,0.341954494987205,1.652,0.0489865973862384,0.605349945034811,0.394650054965189,"17",0.0443757863955424,0.013663530997916
"South Korea",1997,45283.94,16.6850032344412,1.142,0.407998286083134,1.6,0.0470635399108434,0.583515681983953,0.416484318016047,"17",0.0443757863955424,0.013663530997916
"South Korea",1998,45599.57,15.6184869073276,1.08,0.349969179403055,1.56,0.0423477907558379,0.590909090909091,0.409090909090909,"17",0.0443757863955424,0.013663530997916
"South Korea",1999,45908.31,17.1719505385638,1.183,0.358867962058049,1.572,0.0349195874725505,0.57059891107078,0.42940108892922,"17",0.0443757863955424,0.013663530997916
"South Korea",2000,46206.27,18.5328355234197,1.225,0.430995447026883,1.526,0.0345515707642866,0.55470737913486,0.44529262086514,"17",0.0443757863955424,0.013663530997916
"South Korea",2001,46492.32,19.2286445936955,1.227,0.415075000579705,1.515,0.030881497355215,0.552516411378556,0.447483588621444,"17",0.0443757863955424,0.013663530997916
"South Korea",2002,46769.58,20.5429271181823,1.253,0.379446871329529,1.474,0.0360080110035129,0.54052071873854,0.459479281261459,"17",0.0443757863955424,0.013663530997916
"South Korea",2003,47043.25,21.0407225937245,1.285,0.416555209338271,1.387,0.0464025465427502,0.519086826347305,0.480913173652695,"17",0.0443757863955424,0.013663530997916
"South Korea",2004,47320.45,21.9889380581469,1.352,0.519984606487312,1.435,0.0441277728032075,0.514890563329745,0.485109436670255,"17",0.0443757863955424,0.013663530997916
"South Korea",2005,47605.86,22.8048792389873,1.371,0.553447186743261,1.417,0.0488673543372551,0.508249641319943,0.491750358680057,"17",0.0443757863955424,0.013663530997916
"South Korea",2006,47901.64,23.869326104602,1.391,0.580025869627189,1.402,0.0633804953784222,0.501969208736126,0.498030791263874,"18.2",0.00256227143705906,0.00198615424352924
"South Korea",2007,48205.06,25.0564894453511,1.419,0.625358267423078,1.382,0.085459833871895,0.493395215994288,0.506604784005712,"18.1",0.00519847619047619,0.0227794761904762
"South Korea",2008,48509.84,25.5806092830034,1.465,0.53788734337395,1.403,0.106933402591316,0.489191073919107,0.510808926080893,"18.1",0.00519847619047619,0.0227794761904762
"South Korea",2009,48807.04,25.6393731146403,1.471,0.55195810407806,1.421,0.0912194019260987,0.491355463347165,0.508644536652835,"18.1",0.00519847619047619,0.0227794761904762
"South Korea",2010,49090.04,27.1789297086358,1.488,0.588633451827431,1.446,0.0907900054946096,0.492842535787321,0.507157464212679,"18.1",0.00519847619047619,0.0227794761904762
"South Korea",2011,49356.69,27.9706490174217,1.401,0.553259793874311,1.468,0.107019843977455,0.511676542349251,0.488323457650749,"14.1",0.166403791030159,0.0258201189432709
