"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs"
"India",1991,888513.87,1.5676238136887,0.522,0.106689402652865,1.447,0.0319981526263985,0.734890807516506,0.265109192483494,"1.12",0.023922619047619,0.0101702857142857
"India",1992,906461.36,1.62082734293003,0.546,0.118956133273827,1.461,0.0285925499019024,0.727952167414051,0.272047832585949,"1.12",0.023922619047619,0.0101702857142857
"India",1993,924475.63,1.66474542768029,0.536,0.133861353372258,1.445,0.0366356276504363,0.729429581019687,0.270570418980313,"1.12",0.023922619047619,0.0101702857142857
"India",1994,942604.21,1.74145045134096,0.541,0.128723456009038,1.412,0.0340032335730975,0.722990271377368,0.277009728622632,"1.12",0.023922619047619,0.0101702857142857
"India",1995,960874.98,1.83773512047559,0.554,0.13279520211116,1.43,0.0469676581670538,0.720766129032258,0.279233870967742,"1.12",0.023922619047619,0.0101702857142857
"India",1996,979290.43,1.93930793854235,0.686,0.182553925063607,1.422,0.0486827189982195,0.674573055028463,0.325426944971537,"1.6",0.0263187186329635,0.0503453302889443
"India",1997,997817.25,1.98038038307226,0.726,0.228945993166839,1.417,0.0478040261344607,0.661222585160989,0.338777414839011,"1.5",0.130079094544085,0.109437818815476
"India",1998,1016402.91,2.06440312089646,0.714,0.241985620240823,1.423,0.0418786582022944,0.665886757136172,0.334113242863828,"1.9.1",0.006301806103422,0.0324768983319641
"India",1999,1034976.63,2.2066901786331,0.739,0.234622945724815,1.5,0.0322427879452055,0.669941938365342,0.330058061634658,"1.4.2",0.0080205,0.0118577
"India",2000,1053481.07,2.25119954152214,0.717,0.253398280947939,1.517,0.03401724195736,0.67905102954342,0.32094897045658,"1.9.2",0.0249682260144505,0.054270049281531
"India",2001,1071888.19,2.31927278010141,0.716,0.262784017019609,1.471,0.0314042602497602,0.672610882487426,0.327389117512574,"1.9.2",0.0249682260144505,0.054270049281531
"India",2002,1090189.36,2.36708233469962,0.723,0.24350099969705,1.43,0.03942003626401,0.664189503019043,0.335810496980957,"1.9.1",0.006301806103422,0.0324768983319641
"India",2003,1108369.58,2.51126566020181,0.737,0.269762120852359,1.407,0.0458417930815589,0.65625,0.34375,"1.2.1",0.0901176461634487,0.0820739337530839
"India",2004,1126419.32,2.66680289281538,0.767,0.363055112765243,1.417,0.0451005410813894,0.648809523809524,0.351190476190476,"6.2.2",0.0196860391736991,0.0227237000691502
"India",2005,1144326.29,2.86880493259453,0.774,0.370176173614889,1.417,0.0494289359151594,0.646736649931538,0.353263350068462,"6.6.1",0.0572278811190264,0.0350716390498284
"India",2006,1162088.3,3.08665931192962,0.82,0.397210316820789,1.431,0.0637195300192413,0.635717458907152,0.364282541092848,"6.6.2",0.0180668229220873,0.0746306773538676
"India",2007,1179685.63,3.30235839465319,0.858,0.452724811030844,1.452,0.0853016009283369,0.628571428571429,0.371428571428571,"3.2",0.0316045178536407,0.0249547576196305
"India",2008,1197070.11,3.38102711905256,0.87,0.39394464689419,1.477,0.103722923141132,0.629314017895185,0.370685982104815,"3.1.2",0.0881129165910408,0.0833130948158243
"India",2009,1214182.18,3.61603984827914,0.892,0.384599323983338,1.439,0.0853828621797862,0.617331617331617,0.382668382668383,"3.2",0.0316045178536407,0.0249547576196305
"India",2010,1230984.5,3.93262304179614,0.899,0.441150710335204,1.46,0.0876493024957778,0.618906316235693,0.381093683764307,"3.2",0.0316045178536407,0.0249547576196305
"India",2011,1247446.01,4.13834389495278,0.916,0.474572393852322,1.445,0.105308253071053,0.612028801355358,0.387971198644642,"4.1",0.0698512832738857,0.0762408997297832
