"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs"
"Middle East",1991,119950.67,13.6325470581346,0.985126195793654,0.188418972660498,1.644569366307,0.0299881602574401,0.625383937976944,0.374616062023056,"1.11",0.11662153122804,0.121882637781401
"Middle East",1992,123136.6,14.0221982856984,0.992990912612497,0.193645174148168,1.63956369820183,0.0320366652396747,0.622803299679571,0.377196700320429,"1.11",0.11662153122804,0.121882637781401
"Middle East",1993,126246.02,13.966859456245,0.920774271458221,0.212674023769464,1.65233009951522,0.0360957921373765,0.642154324618445,0.357845675381555,"1.11",0.11662153122804,0.121882637781401
"Middle East",1994,129335.02,13.8520980786161,0.930683098900824,0.204960480914225,1.61029151207461,0.0360630158678226,0.633729870861027,0.366270129138973,"1.11",0.11662153122804,0.121882637781401
"Middle East",1995,134084.21,14.598786803699,0.944864746042804,0.228955674021361,1.55950276330076,0.0480250409270036,0.622713222992393,0.377286777007607,"1.10",0.0989493932760989,0.00347489332625589
"Middle East",1996,137238.67,14.9840259443913,1.03527039157404,0.313924818993622,1.57633608727045,0.0490091514908198,0.603588672351549,0.396411327648451,"6.3.2",0.10082194286606,0.0584815939432157
"Middle East",1997,140479.8,15.2615963941691,1.083028019758,0.339045415225835,1.58944609182245,0.0408557671372067,0.594747049161304,0.405252950838696,"17",0.0443757863955424,0.013663530997916
"Middle East",1998,143791.51,15.6445443245253,1.08318438856369,0.388107043560971,1.58151257894155,0.0347864795701542,0.593505602410845,0.406494397589155,"17",0.0443757863955424,0.013663530997916
"Middle East",1999,147142.38,15.691294173605,1.09657826439942,0.376074251999268,1.61020091723404,0.0313540097378206,0.594877087927923,0.405122912072077,"17",0.0443757863955424,0.013663530997916
"Middle East",2000,151108.18,16.5234447380495,1.08897690224315,0.391963220462612,1.58685981612643,0.0325509577907602,0.593033126884261,0.406966873115739,"17",0.0443757863955424,0.013663530997916
"Middle East",2001,154514.89,16.4409221747914,1.10034504396308,0.399141571609758,1.58455988435807,0.035110838359186,0.590173554245321,0.409826445754679,"17",0.0443757863955424,0.013663530997916
"Middle East",2002,157961.9,16.4712240477103,1.10511544499022,0.413514861096612,1.5747757395929,0.0425928848934312,0.587626747179988,0.412373252820012,"17",0.0443757863955424,0.013663530997916
"Middle East",2003,161515.78,16.7058827158638,1.11648206032872,0.433703631504609,1.55404537890973,0.045722858584061,0.581924512766996,0.418075487233004,"17",0.0443757863955424,0.013663530997916
"Middle East",2004,165265.19,17.9816408037282,1.23906159379359,0.532361522104147,1.54793016018679,0.0457334874581085,0.555412536824351,0.444587463175649,"17",0.0443757863955424,0.013663530997916
"Middle East",2005,169269.36,18.5428033726262,1.25188936905061,0.590273494000019,1.53029557121265,0.0500703739613545,0.550033733942881,0.449966266057119,"18.2",0.00256227143705906,0.00198615424352924
"Middle East",2006,173539.6,19.3806478956807,1.24595775678865,0.627867889889447,1.5291014785098,0.0618941428969435,0.551015797810655,0.448984202189345,"18.2",0.00256227143705906,0.00198615424352924
"Middle East",2007,178042.6,20.1309992106795,1.2630676416206,0.717825218675931,1.52046575454414,0.0880800544814301,0.546235858581433,0.453764141418567,"18.2",0.00256227143705906,0.00198615424352924
"Middle East",2008,182735.24,20.6289101714245,1.25118709330505,0.586913094073715,1.52065721680175,0.0990925396399743,0.548608452234159,0.451391547765841,"15.2",0.0221350471646677,0.0103269826154961
"Middle East",2009,187553.54,20.3955054526216,1.26141458241737,0.61137108944365,1.50013695379997,0.0776852731415497,0.54322250884182,0.45677749115818,"18.2",0.00256227143705906,0.00198615424352924
"Middle East",2010,192439.09,20.9455576259395,1.29049266830351,0.645040540797402,1.51072131727499,0.0861240847717188,0.539309501185072,0.460690498814928,"18.2",0.00256227143705906,0.00198615424352924
"Middle East",2011,197386.21,21.6744494485103,1.26090749865454,0.65435901929484,1.50399229267333,0.108960653012151,0.543959060429826,0.456040939570174,"18.2",0.00256227143705906,0.00198615424352924
