"GCAM_region_name","year","pop_thous","gdp_pcap_thous2005usd","ns_cal_pcap_day_thous","ns_usd_p1000cal","s_cal_pcap_day_thous","s_usd_p1000cal","s_share","ns_share","clusterID","sig2Qn","sig2Qs","weight"
"Australia_NZ",1970,15724.31,18.3980360515486,2.07944819327525,0.676492096741826,0.877972255698342,0.0966597178829457,0.296870962667162,0.703129037332838,"6.1.1",0.00104720539340235,0.00990932721284684,0.0116634087303003
"Canada",1970,21439.2,17.9776822564777,2.047,0.655752566789206,0.776,0.121254653297557,0.274884874247255,0.725115125752745,"5.2",0.0861211571648543,0.0341537922151744,0.0159023926932662
"China",1970,808510.71,0.492963303670325,0.317,0.480247212362247,1.505,0.155705621303482,0.826015367727772,0.173984632272228,"4.1.1.2",0.0133999959160921,0.0168624914591113,0.59970776927924
"European Free Trade Association",1970,10249.47,25.8664022572124,2.20880282297524,0.617787830725314,0.895463706903869,0.103248116430208,0.288462249708546,0.711537750291454,"6.1.2",0.00360535051140235,0.0103144483261202,0.00760248035551007
"Japan",1970,103707.54,13.3557688930125,1.158,0.772126870083622,1.41,0.101438702030506,0.549065420560748,0.450934579439252,"5.2",0.0861211571648543,0.0341537922151744,0.076924420049844
"Middle East",1970,51820.35,11.8064039824736,0.858017859393076,0.491421173167646,1.28744469016516,0.0762724590579173,0.600077913469173,0.399922086530827,"4.2.2.1",0.128278852743991,0.0505322199846738,0.0384374209486594
"Pakistan",1970,58094.24,1.25340664531801,0.614,0.466415678411796,1.487,0.0756768413004026,0.707758210376011,0.292241789623989,"2.1.1.2",0.0173218789598805,0.0282087656491775,0.0430910396701768
"South Africa",1970,22502.5,8.16724628133668,1.039,0.49114572935955,1.68,0.071379217221135,0.61787421846267,0.38212578153733,"4.2.1.1",0.0946390130731917,0.0807206795121866,0.0166910888270189
"South Asia",1970,89638.86,0.95811711609081,0.357478751514689,0.520580022369034,1.71455200980914,0.123580769260027,0.827474206374091,0.172525793625909,"4.1.1.3",0.0148605968335805,0.0755987504467863,0.0664890645311726
"USA",1970,209485.81,20.1151640164761,2.095,0.70274942823621,0.703,0.110060350159963,0.251250893495354,0.748749106504646,"5.2",0.0861211571648543,0.0341537922151744,0.155384791143651
"Australia_NZ",1971,16022.4,18.7363696189822,2.1244152561414,0.663224393904639,0.862293658253445,0.0891581256751032,0.288710310568768,0.711289689431232,"6.1.3",0.0260769330128386,0.0166005306476402,0.011884515125965
"Canada",1971,21790.34,18.4364521811098,2.041,0.627624125503062,0.735,0.108892970043655,0.264769452449568,0.735230547550432,"6.1.4",0.231049166505776,0.0654212757615389,0.0161628485950869
"China",1971,829367.78,0.513671511713495,0.331,0.456077313439166,1.496,0.15859476351468,0.818828680897646,0.181171319102354,"2.2.1",0.0161893743549901,0.039422160944758,0.615178370680923
"European Free Trade Association",1971,10333.43,26.8546362438634,2.19934752642637,0.572711228204081,0.87867739656629,0.0937498085549177,0.285467927826907,0.714532072173092,"6.1.5",0.00320772002177833,0.00548147946469073,0.00766475716110573
"Japan",1971,105142.88,13.7924320577973,1.185,0.742579018962367,1.392,0.097699529450238,0.540162980209546,0.459837019790454,"5.2",0.0861211571648543,0.0341537922151744,0.0779890745298784
"Middle East",1971,53471.18,12.7945743493302,0.862428305303904,0.51129032451321,1.2575872647658,0.074083967603248,0.593197183322787,0.406802816677213,"4.3.1",0.0777856990806497,0.0559767361547718,0.0396619137902685
"Pakistan",1971,59690.47,1.23837213093594,0.627,0.459365496912324,1.429,0.0739440507152386,0.695038910505836,0.304961089494163,"2.1.1.2",0.0173218789598805,0.0282087656491775,0.0442750333028111
"South Africa",1971,23106.81,8.2939956118135,1.061,0.481474618068282,1.602,0.0607849447937181,0.601577168606834,0.398422831393166,"4.2.1.2",0.0722591331935942,0.0520990629740591,0.0171393319950694
"South Asia",1971,91518.43,0.907207109266713,0.34191125907645,0.530733667814627,1.60137548163796,0.123146698439845,0.824055168023864,0.175944831976136,"1.1",0.0691178658725879,0.0311104870087219,0.0678832238390983
"USA",1971,211357.91,20.6244900269441,2.11,0.670783737623275,0.704,0.099972735637891,0.250177683013504,0.749822316986496,"6.1.1",0.00104720539340235,0.00990932721284684,0.156773409625733
"Australia_NZ",1972,16294.71,18.9350212438902,2.17008696073756,0.716982834939424,0.849642305999923,0.120572254462119,0.281363735272161,0.718636264727839,"5.2",0.0861211571648543,0.0341537922151744,0.0120864993676486
"Canada",1972,22142,19.1832247468952,2.035,0.694693263018897,0.747,0.143059204516357,0.268511861969806,0.731488138030194,"5.3.1",0.0712335761567142,0.0248803094104347,0.0164236902036597
"China",1972,849787.99,0.519851368349765,0.33,0.520338457472062,1.48,0.180095479040684,0.81767955801105,0.18232044198895,"3.3.1",0.0406877063553962,0.0290400944273273,0.630324933906181
"European Free Trade Association",1972,10412.93,27.6959236255346,2.25192170119265,0.645727360764308,0.891634846292062,0.125229873428451,0.283638876165754,0.716361123834246,"5.2",0.0861211571648543,0.0341537922151744,0.00772372578955804
"Japan",1972,106616.54,14.7461574638966,1.232,0.802629947002467,1.39,0.120681040555683,0.530129672006102,0.469870327993898,"5.4.1",0.133330537738397,0.068387869924103,0.0790821526305705
"Middle East",1972,55185.09,14.0897291900395,0.881785558019385,0.542749039900808,1.27748715133019,0.0944815340661233,0.591628443132132,0.408371556867868,"4.3.3",0.0886634988018296,0.0361545594125398,0.0409331958278872
"Pakistan",1972,61341.25,1.22200268536376,0.633,0.485179955802786,1.502,0.0927159052600929,0.703512880562061,0.296487119437939,"4.4.1",0.0130270356045279,0.0319985036209193,0.0454994890572324
"South Africa",1972,23736.49,8.20758302628187,1.074,0.524790460985726,1.652,0.0826990883549973,0.606016140865737,0.393983859134263,"4.3.2.1",0.0689899325555393,0.0724608460924645,0.0176063932021618
