"X","iso","year","pop_thous","Y","cons_price_ns","Pn","share_s_ns.x","cons_exp_ns","Qn","ns_cons_thous_t","cons_price_s","Ps","share_s_ns.y","cons_exp_s","Qs","s_cons_thous_t","gdp_pcap","Tot_cal","weight","clusterID","sig2Qn","sig2Qs"
3850,"lux",2007,476,112907.6134,4255.565659,2.22401971477,0.625569754,1873233.92,1.769483136,0.876126126,1020.007322,0.299866373055,0.374430246,151173.7295,1.059111316,0.123873874,112.9076134,2.828594452,0.00034231010418884,"1.1",0.0393264544481856,0.0134583287851763
3851,"lux",2008,487,108945.2222,5218.328164,2.267117313515,0.624247485,1996616.056,1.80838795,0.871396896,1341.522533,0.397244377765,0.375752515,210583.0539,1.088520717,0.128603104,108.9452222,2.896908667,0.000350220631806649,"1.1",0.0393264544481856,0.0134583287851763
3849,"lux",2006,466,106438.0962,4450.003849,2.30890314606,0.630846119,1940300.992,1.803339409,0.882882883,788.9243519,0.22807390073,0.369153881,112156.1217,1.05526486,0.117117117,106.4380962,2.858604269,0.000335118715445377,"1.2.1",0.0413579844033915,0.0208664729982023
3853,"lux",2010,508,104748.9701,5208.965729,2.62589687365,0.604617062,2313810.829,1.734548592,0.867924528,1228.170704,0.34984199384,0.395382938,201585.6662,1.134289721,0.132075472,104.7489701,2.868838313,0.000365322548167922,"1.1",0.0393264544481856,0.0134583287851763
3848,"lux",2005,458,102965.2366,5164.687553,2.42844833223,0.645203315,2010023.358,1.807202249,0.889145497,825.2179393,0.251191620665,0.354796685,114330.0382,0.993778788,0.110854503,102.9652366,2.800981037,0.000329365604450607,"1.1",0.0393264544481856,0.0134583287851763
3852,"lux",2009,498,101895.1939,6451.897078,2.882620662075,0.585139736,2402605.09,1.673653518,0.858426966,1324.359262,0.354989588475,0.414860264,209774.5325,1.186609452,0.141573034,101.8951939,2.86026297,0.000358131159424459,"1.1",0.0393264544481856,0.0134583287851763
3847,"lux",2004,452,101123.9329,4554.425695,2.24118532386,0.669575171,1903595.272,1.879136865,0.897435897,1242.908696,0.411630362935,0.330424829,172535.1486,0.927324524,0.102564103,101.1239329,2.806461389,0.000325050771204529,"1.1",0.0393264544481856,0.0134583287851763
3846,"lux",2003,447,98690.20834,5638.546158,2.39902353019,0.666775635,2010907.532,1.875210689,0.89977221,1468.038696,0.48175580361,0.333224365,201809.486,0.937145659,0.10022779,98.69020834,2.812356348,0.000321455076832797,"1.1",0.0393264544481856,0.0134583287851763
781,"bmu",2008,65,98214.02978,3338.558555,1.2474474184,0.636915078,100479.3263,1.239199157,0.871794872,1062.096654,0.319548122055,0.363084922,14672.94939,0.706427819,0.128205128,98.21402978,1.945626976,4.67440268325097e-05,"1.2.1",0.0413579844033915,0.0208664729982023
3845,"lux",2002,444,97764.17505,7673.674349,3.131043273385,0.655939474,2610432.27,1.877761323,0.895454545,1009.430134,0.315359657995,0.344060526,137911.5304,0.984943848,0.104545455,97.76417505,2.862705171,0.000319297660209758,"1.1",0.0393264544481856,0.0134583287851763
780,"bmu",2007,65,97107.84657,2485.807689,1.155041272505,0.620728672,86802.14276,1.156164384,0.868421053,1028.202256,0.29611674083,0.379271328,13597.03172,0.706427819,0.131578947,97.10784657,1.862592203,4.67440268325097e-05,"1.2.1",0.0413579844033915,0.0208664729982023
779,"bmu",2006,64,95456.01147,3350.575989,1.547292893745,0.610413761,111320.3052,1.124143836,0.868421053,856.9396363,0.2402598776,0.389586239,11032.20698,0.717465753,0.131578947,95.45601147,1.841609589,4.60248879581634e-05,"1.2.1",0.0413579844033915,0.0208664729982023
3844,"lux",2001,440,95023.54468,5875.428545,2.735440664525,0.662992681,2254003.108,1.872727273,0.896955504,1097.882738,0.353591916605,0.337007319,148101.7321,0.951930262,0.103044496,95.02354468,2.824657535,0.000316421104712373,"1.1",0.0393264544481856,0.0134583287851763
3843,"lux",2000,436,93527.2342,4589.508894,2.151652098075,0.64205435,1619810.859,1.726655775,0.888888889,976.18239,0.29613935769,0.35794565,124289.2827,0.962611537,0.111111111,93.5272342,2.689267312,0.000313544549214988,"1.1",0.0393264544481856,0.0134583287851763
782,"bmu",2009,65,92373.66955,3777.063966,1.351669542125,0.62572577,103763.7824,1.181032666,0.871794872,967.9396145,0.28238059582,0.37427423,12966.29805,0.706427819,0.128205128,92.37366955,1.887460485,4.67440268325097e-05,"1.2.1",0.0413579844033915,0.0208664729982023
4848,"nor",2007,4721,91387.37238,4771.983753,2.48888082305,0.629174062,22964391.94,1.954415277,0.859839547,1259.010616,0.377856730435,0.370825938,2054836.661,1.151903619,0.140160453,91.38737238,3.106318896,0.0033950546257889,"1.1",0.0393264544481856,0.0134583287851763
775,"bmu",2005,64,91252.77131,3424.233558,1.6780488319,0.619609623,125508.8579,1.168664384,0.875,747.0921824,0.214527845165,0.380390377,9850.64846,0.717465753,0.125,91.25277131,1.886130137,4.60248879581634e-05,"1.2.1",0.0413579844033915,0.0208664729982023
4849,"nor",2008,4778,90731.24904,4493.449868,2.218968439255,0.645215513,21865471.83,2.062346256,0.864189034,1066.991408,0.339358009415,0.354784487,1838762.562,1.134021801,0.135810966,90.73124904,3.196368057,0.00343604554162663,"1.1",0.0393264544481856,0.0134583287851763
783,"bmu",2010,65,90045.74346,3969.477089,1.733836338925,0.674225799,131344.0405,1.165437302,0.885714286,742.2893807,0.24900206925,0.325774201,9114.157935,0.563119073,0.114285714,90.04574346,1.728556375,4.67440268325097e-05,"1.2.1",0.0413579844033915,0.0208664729982023
774,"bmu",2004,64,89750.01373,3578.189795,1.611348663645,0.620728672,121093.9557,1.174229452,0.875,1250.544683,0.360206787515,0.379271328,16539.90619,0.717465753,0.125,89.75001373,1.891695205,4.60248879581634e-05,"1.1",0.0393264544481856,0.0134583287851763
4847,"nor",2006,4669,89726.78614,5031.143075,2.583396974085,0.629435958,23548265.03,1.952288044,0.857939394,1064.81014,0.32040076972,0.370564042,1719384.645,1.149358784,0.142060606,89.72678614,3.101646828,0.00335765940432289,"1.1",0.0393264544481856,0.0134583287851763
4846,"nor",2005,4624,88480.79546,5091.433587,2.644314741165,0.630022901,23917066.14,1.956036403,0.858086616,1084.549579,0.329322825705,0.369977099,1749182.398,1.148670427,0.141913384,88.48079546,3.10470683,0.0033252981549773,"1.1",0.0393264544481856,0.0134583287851763
