"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"7660042" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660043" 1.33397 0.957541 -0.170734 0.157116 -0.189302 0.554736 0.115923 12.67 3.29872 -202.955
"7660044" 1.36433 0.995333 -0.179319 0.174823 -0.226785 0.546124 0.110505 12.1487 3.71725 -205.624
"7660045" 1.36343 1.05408 -0.127571 0.172471 -0.225623 0.506417 0.119388 11.3868 3.81564 -202.729
"7660046" 1.34325 1.05656 -0.205573 0.204991 -0.269832 0.519585 0.126044 11.5381 3.61308 -204.444
"7660047" 1.31926 1.03098 -0.140531 0.18024 -0.275574 0.523256 0.12178 12.6501 3.70293 -201.044
"7660048" 1.3041 1.11545 -0.149939 0.176146 -0.281204 0.483041 0.110951 13.3555 4.91171 -197.826
"7660049" 1.34925 1.00249 -0.180875 0.169459 -0.280067 0.528631 0.124078 11.8377 3.40278 -201.111
"7660050" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660051" 1.33397 0.957541 -0.170734 0.157116 -0.189302 0.554736 0.115923 12.67 3.29872 -202.955
"7660052" 1.36433 0.995333 -0.179319 0.174823 -0.226785 0.546124 0.110505 12.1487 3.71725 -205.624
"7660053" 1.36343 1.05408 -0.127571 0.172471 -0.225623 0.506417 0.119388 11.3868 3.81564 -202.729
"7660054" 1.34325 1.05656 -0.205573 0.204991 -0.269832 0.519585 0.126044 11.5381 3.61308 -204.444
"7660055" 1.31926 1.03098 -0.140531 0.18024 -0.275574 0.523256 0.12178 12.6501 3.70293 -201.044
"7660056" 1.3041 1.11545 -0.149939 0.176146 -0.281204 0.483041 0.110951 13.3555 4.91171 -197.826
"7660057" 1.36414 1.00805 -0.175504 0.175149 -0.259492 0.526748 0.126663 11.8465 3.38277 -201.816
"7660058" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660059" 1.33397 0.957541 -0.170734 0.157116 -0.189302 0.554736 0.115923 12.67 3.29872 -202.955
"7660060" 1.37525 0.991094 -0.170564 0.184694 -0.235173 0.549917 0.111591 12.1571 3.70471 -207.586
"7660061" 1.36343 1.05408 -0.127571 0.172471 -0.225623 0.506417 0.119388 11.3868 3.81564 -202.729
"7660062" 1.34325 1.05656 -0.205573 0.204991 -0.269832 0.519585 0.126044 11.5381 3.61308 -204.444
"7660063" 1.31926 1.03098 -0.140531 0.18024 -0.275574 0.523256 0.12178 12.6501 3.70293 -201.044
"7660064" 1.3041 1.11545 -0.149939 0.176146 -0.281204 0.483041 0.110951 13.3555 4.91171 -197.826
"7660065" 1.36414 1.00805 -0.175504 0.175149 -0.259492 0.526748 0.126663 11.8465 3.38277 -201.816
"7660066" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660067" 1.33397 0.957541 -0.170734 0.157116 -0.189302 0.554736 0.115923 12.67 3.29872 -202.955
"7660068" 1.37365 0.994477 -0.181802 0.177379 -0.249787 0.564212 0.111304 12.1565 3.70213 -208.355
"7660069" 1.36343 1.05408 -0.127571 0.172471 -0.225623 0.506417 0.119388 11.3868 3.81564 -202.729
"7660070" 1.34814 1.05583 -0.203853 0.213235 -0.287942 0.522486 0.119972 11.5362 3.61079 -205.571
"7660071" 1.32793 1.03467 -0.142122 0.176407 -0.268057 0.524469 0.121392 12.6561 3.70566 -200.316
"7660072" 1.29512 1.13488 -0.158388 0.169935 -0.273251 0.490007 0.104305 13.3783 4.91417 -197.496
"7660073" 1.36414 1.00805 -0.175504 0.175149 -0.259492 0.526748 0.126663 11.8465 3.38277 -201.816
"7660074" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660075" 1.33747 0.975009 -0.163434 0.146685 -0.196723 0.542703 0.124905 12.6616 3.30575 -202.838
"7660076" 1.37797 0.987833 -0.185528 0.19387 -0.249171 0.544322 0.119664 12.1582 3.71234 -209.572
"7660077" 1.35462 1.05946 -0.142694 0.177292 -0.235298 0.516419 0.12024 11.3844 3.82091 -202.112
"7660078" 1.35541 1.05204 -0.21632 0.225282 -0.294725 0.525098 0.126454 11.5445 3.60466 -205.262
"7660079" 1.32793 1.03467 -0.142122 0.176407 -0.268057 0.524469 0.121392 12.6561 3.70566 -200.316
"7660080" 1.2982 1.14365 -0.15412 0.17443 -0.272462 0.48318 0.116314 13.4003 4.90669 -198.469
"7660081" 1.36512 0.994836 -0.174383 0.179456 -0.262542 0.542039 0.13215 11.8398 3.38196 -201.851
"7660082" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660083" 1.34164 0.98264 -0.153151 0.142113 -0.183844 0.532682 0.116381 12.6556 3.30532 -201.955
"7660084" 1.37614 0.985896 -0.18192 0.192945 -0.259968 0.540069 0.117354 12.157 3.70299 -209.149
"7660085" 1.35462 1.05946 -0.142694 0.177292 -0.235298 0.516419 0.12024 11.3844 3.82091 -202.112
"7660086" 1.35541 1.05204 -0.21632 0.225282 -0.294725 0.525098 0.126454 11.5445 3.60466 -205.262
"7660087" 1.344 1.02631 -0.148829 0.171124 -0.26271 0.531884 0.120547 12.6592 3.70819 -200.22
"7660088" 1.2982 1.14365 -0.15412 0.17443 -0.272462 0.48318 0.116314 13.4003 4.90669 -198.469
"7660089" 1.36512 0.994836 -0.174383 0.179456 -0.262542 0.542039 0.13215 11.8398 3.38196 -201.851
"7660090" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660091" 1.34164 0.98264 -0.153151 0.142113 -0.183844 0.532682 0.116381 12.6556 3.30532 -201.955
"7660092" 1.37614 0.985896 -0.18192 0.192945 -0.259968 0.540069 0.117354 12.157 3.70299 -209.149
"7660093" 1.35639 1.04642 -0.142418 0.173013 -0.231188 0.526104 0.121242 11.387 3.82426 -201.697
"7660094" 1.35399 1.03937 -0.218334 0.233148 -0.299437 0.521881 0.123316 11.5405 3.6102 -205.041
"7660095" 1.35209 1.01317 -0.162851 0.155568 -0.271494 0.528712 0.111886 12.654 3.70892 -200.729
"7660096" 1.2982 1.14365 -0.15412 0.17443 -0.272462 0.48318 0.116314 13.4003 4.90669 -198.469
"7660097" 1.36512 0.994836 -0.174383 0.179456 -0.262542 0.542039 0.13215 11.8398 3.38196 -201.851
"7660098" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660099" 1.34164 0.98264 -0.153151 0.142113 -0.183844 0.532682 0.116381 12.6556 3.30532 -201.955
"7660100" 1.3161 1.00927 -0.178 0.158271 -0.297033 0.566432 0.135699 11.99 3.57328 -206.013
"7660101" 1.35639 1.04642 -0.142418 0.173013 -0.231188 0.526104 0.121242 11.387 3.82426 -201.697
"7660102" 1.33394 0.994247 -0.17742 0.188266 -0.290523 0.553192 0.121364 12.1002 3.6941 -201.225
"7660103" 1.35209 1.01317 -0.162851 0.155568 -0.271494 0.528712 0.111886 12.654 3.70892 -200.729
"7660104" 1.2982 1.14365 -0.15412 0.17443 -0.272462 0.48318 0.116314 13.4003 4.90669 -198.469
"7660105" 1.36132 1.00059 -0.179169 0.176593 -0.258422 0.540333 0.13062 11.8291 3.38207 -201.241
"7660106" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660107" 1.34164 0.98264 -0.153151 0.142113 -0.183844 0.532682 0.116381 12.6556 3.30532 -201.955
"7660108" 1.30956 1.00202 -0.165402 0.168352 -0.28799 0.55873 0.139326 11.9914 3.56401 -205.327
"7660109" 1.35639 1.04642 -0.142418 0.173013 -0.231188 0.526104 0.121242 11.387 3.82426 -201.697
"7660110" 1.33394 0.994247 -0.17742 0.188266 -0.290523 0.553192 0.121364 12.1002 3.6941 -201.225
"7660111" 1.34141 1.00866 -0.163945 0.161049 -0.27188 0.539916 0.110511 12.6607 3.71698 -199.655
"7660112" 1.29554 1.14542 -0.146051 0.167641 -0.274412 0.491067 0.107614 13.3951 4.92026 -198.42
"7660113" 1.36132 1.00059 -0.179169 0.176593 -0.258422 0.540333 0.13062 11.8291 3.38207 -201.241
"7660114" 1.30566 1.09636 -0.17051 0.13727 -0.15073 0.471065 0.101055 14.3211 4.31858 -200.836
"7660115" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660116" 1.30956 1.00202 -0.165402 0.168352 -0.28799 0.55873 0.139326 11.9914 3.56401 -205.327
"7660117" 1.35639 1.04642 -0.142418 0.173013 -0.231188 0.526104 0.121242 11.387 3.82426 -201.697
"7660118" 1.33394 0.994247 -0.17742 0.188266 -0.290523 0.553192 0.121364 12.1002 3.6941 -201.225
"7660119" 1.3306 1.0112 -0.161292 0.153335 -0.283435 0.539617 0.114847 12.6502 3.71702 -199.328
"7660120" 1.29554 1.14542 -0.146051 0.167641 -0.274412 0.491067 0.107614 13.3951 4.92026 -198.42
"7660121" 1.36132 1.00059 -0.179169 0.176593 -0.258422 0.540333 0.13062 11.8291 3.38207 -201.241
"7660122" 1.29661 1.08128 -0.165108 0.13663 -0.169147 0.478848 0.105773 14.3302 4.32967 -200.563
"7660123" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660124" 1.30956 1.00202 -0.165402 0.168352 -0.28799 0.55873 0.139326 11.9914 3.56401 -205.327
"7660125" 1.35173 1.04542 -0.137493 0.171583 -0.232105 0.515694 0.127813 11.3968 3.82421 -201.011
"7660126" 1.32863 1.00242 -0.17211 0.197234 -0.2879 0.551119 0.121838 12.0981 3.70215 -200.863
"7660127" 1.3306 1.0112 -0.161292 0.153335 -0.283435 0.539617 0.114847 12.6502 3.71702 -199.328
"7660128" 1.29554 1.14542 -0.146051 0.167641 -0.274412 0.491067 0.107614 13.3951 4.92026 -198.42
"7660129" 1.3588 1.01199 -0.197182 0.171554 -0.250506 0.534156 0.126665 11.8112 3.39325 -201.829
"7660130" 1.29661 1.08128 -0.165108 0.13663 -0.169147 0.478848 0.105773 14.3302 4.32967 -200.563
"7660131" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660132" 1.32154 1.01376 -0.178035 0.178028 -0.283325 0.561236 0.131793 11.9933 3.56079 -203.319
"7660133" 1.35173 1.04542 -0.137493 0.171583 -0.232105 0.515694 0.127813 11.3968 3.82421 -201.011
"7660134" 1.31683 1.00476 -0.174171 0.195011 -0.290842 0.536179 0.122947 12.0959 3.69304 -201.721
"7660135" 1.3306 1.0112 -0.161292 0.153335 -0.283435 0.539617 0.114847 12.6502 3.71702 -199.328
"7660136" 1.28975 1.14354 -0.154388 0.183907 -0.266151 0.485544 0.108157 13.3964 4.92887 -197.704
"7660137" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660138" 1.30631 1.07697 -0.163984 0.138697 -0.165985 0.477225 0.105912 14.3316 4.34007 -202.74
"7660139" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660140" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660141" 1.35173 1.04542 -0.137493 0.171583 -0.232105 0.515694 0.127813 11.3968 3.82421 -201.011
"7660142" 1.31683 1.00476 -0.174171 0.195011 -0.290842 0.536179 0.122947 12.0959 3.69304 -201.721
"7660143" 1.32343 1.02492 -0.161708 0.15199 -0.287207 0.539023 0.120763 12.6326 3.73348 -199.904
"7660144" 1.30829 1.12218 -0.153003 0.182055 -0.274612 0.477573 0.107529 13.3994 4.92549 -197.973
"7660145" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660146" 1.3025 1.08038 -0.178316 0.148137 -0.165531 0.485369 0.0985954 14.3322 4.33938 -199.879
"7660147" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660148" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660149" 1.34831 1.04394 -0.148655 0.163966 -0.236598 0.518081 0.135015 11.3993 3.82695 -201.858
"7660150" 1.31683 1.00476 -0.174171 0.195011 -0.290842 0.536179 0.122947 12.0959 3.69304 -201.721
"7660151" 1.31989 1.02668 -0.157167 0.152195 -0.299392 0.548278 0.109512 12.6302 3.7373 -201.13
"7660152" 1.30829 1.12218 -0.153003 0.182055 -0.274612 0.477573 0.107529 13.3994 4.92549 -197.973
"7660153" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660154" 1.3025 1.08038 -0.178316 0.148137 -0.165531 0.485369 0.0985954 14.3322 4.33938 -199.879
"7660155" 1.34332 0.978749 -0.160525 0.134778 -0.188462 0.540046 0.107513 12.6661 3.29937 -202.019
"7660156" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660157" 1.34831 1.04394 -0.148655 0.163966 -0.236598 0.518081 0.135015 11.3993 3.82695 -201.858
"7660158" 1.31683 1.00476 -0.174171 0.195011 -0.290842 0.536179 0.122947 12.0959 3.69304 -201.721
"7660159" 1.31989 1.02668 -0.157167 0.152195 -0.299392 0.548278 0.109512 12.6302 3.7373 -201.13
"7660160" 1.30829 1.12218 -0.153003 0.182055 -0.274612 0.477573 0.107529 13.3994 4.92549 -197.973
"7660161" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660162" 1.3025 1.08038 -0.178316 0.148137 -0.165531 0.485369 0.0985954 14.3322 4.33938 -199.879
