"","x"
"0",-3.48133041099856
"1",-4.0498194963117
"2",-3.87466922579418
"3",-8.7991668215687
"4",-8.216724244193
"5",-8.49294211454632
"6",-8.23510748248675
"7",-8.08957675317778
"8",-5.69668886794483
"9",-5.6389136915017
"10",-7.58982045744309
"11",-6.39067657507265
"12",-3.94243921492805
"13",-5.27765306095111
"14",-7.93836590602065
"15",-8.36616185762236
"16",-9.61661377013255
"17",-8.87914074697851
"18",-10.4829482219431
"19",-11.9937914837019
"20",-4.53481373399709
"21",-10.2922304082307
"22",-5.00788006349381
"23",-7.58634556050567
"24",-17.2065811720316
"25",-17.5230406224775
"26",-19.4617575589559
"27",-11.7205661995337
"28",-11.5669308623397
"29",-16.6951412259985
"30",-15.7128627845414
"31",-13.5002647903561
"32",-15.2900240997235
"33",-15.3845690194016
"34",-20.9124193740563
"35",-32.7603001163675
"36",-87.1075153772447
"37",-71.0251642987571
"38",-143.621557016172
"39",-146.993333097652
"40",-48.2664234628146
"41",-35.9716457258109
"42",-31.3660872075981
"43",-25.831684681094
"44",-12.6422822057627
"45",-9.85969241995523
"46",-9.80535760294431
"47",-20.7501467584452
"48",-19.046695093451
"49",-26.2586039646924
"50",-217.241021829839
"51",-206.639165719933
"52",-18.651681105102
"53",-16.2711715886614
"54",-13.4000621613035
"55",-11.8354835693405
"56",-75.1273781799562
"57",-64.9156877906496
"58",-65.6726567904254
"59",-7.55921634045572
"60",-6.41469693568723
"61",-25.134639528627
"62",-7.81734233493228
"63",-7.01056890541761
"64",-7.16757286551936
"65",-7.10631503909158
"66",-7.00915020013271
"67",-14.4517145608397
"68",-5.22449686616341
"69",-3.63217367962314
"70",-3.35549515255762
"71",-3.88096682070333
"72",-4.16562522931006
"73",-6.62791440647125
"74",-7.24678923674163
"75",-1.13630130480241
"76",-1.13152401345245
"77",-0.846006876572927
"78",-1.35535952643729
"79",-1.37896461696857
"80",-0.909934044863014
"81",-0.79612436400953
"82",-1.07290198175449
