iso,year,pop_thous,gdp_pcap_thous2005usd,cons_price_ns,ns_usd_p1000cal,cons_exp_ns,ns_cal_pcap_day_thous,ns_share,cons_price_s,s_usd_p1000cal,cons_exp_s,s_cal_pcap_day_thous,Tot_cal,s_share,Status
irq,1996,21017,2.085833106,3095676.225,12805.97205,4166807186,0.042415761,0.399857448,342456.502,160.2804403,78274555.85,0.063661446,0.106077207,0.600142552,Do not include
vnm,2016,93640.42,1.752500333,7490539.516,11857.57637,2.82E+11,0.695333729,0.279919549,3565124.292,1752.556933,1.07E+11,1.788714745,2.484048474,0.720080451,Do not include
vnm,2017,94600.65,1.852884324,6211111.946,11000.84724,2.63E+11,0.692134895,0.279399807,3509846.913,1725.112212,1.06E+11,1.785085479,2.477220374,0.720600193,Do not include
vnm,2011,89914,1.369822982,6825280.47,10915.33293,1.81E+11,0.50444641,0.292788069,4094122.779,2036.710645,81444311164,1.218459892,1.722906302,0.707211931,Do not include
irq,1994,19732,1.817481293,2390345.712,10700.11392,3037655340,0.039417232,0.371870947,45748.20167,20.42163735,9792583.541,0.066579841,0.105997073,0.628129053,Do not include
vnm,2000,80888,0.742578422,655920.0753,10519.30315,25797854634,0.083065304,0.063637413,3140693.408,1182.869425,42683985142,1.222225082,1.305290386,0.936362587,Do not include
vnm,2012,90796,1.42769779,6292492.263,10157.56966,1.68E+11,0.499710626,0.29752176,3595897.131,1802.125611,70465634370,1.17986611,1.679576736,0.70247824,Do not include
vnm,2010,89047,1.301916403,5057302.818,9066.785279,1.40E+11,0.475178954,0.279725627,3687173.109,1803.813488,71734271233,1.223553331,1.698732285,0.720274373,Do not include
vnm,2015,92677.08,1.667171933,5271380.317,8709.751389,2.14E+11,0.727805372,0.289151837,3499747.441,1739.085902,1.05E+11,1.789229902,2.517035274,0.710848163,Do not include
vnm,2009,88200,1.235086392,4979796.03,8682.479881,1.31E+11,0.468277576,0.275676012,3541933.57,1723.025741,68248084725,1.230374305,1.698651881,0.724323988,Do not include
idn,2016,261556.38,3.968031168,1758922.067,8618.380634,2.83E+11,0.343604275,0.146967684,7804524.246,3204.084141,6.10E+11,1.994353742,2.337958017,0.853032316,Do not include
vnm,2008,87369,1.18297784,4747721.444,8370.236259,1.17E+11,0.439057959,0.263267229,3511878.583,1676.811201,65700615269,1.228669396,1.667727355,0.736732771,Do not include
vnm,2014,91713.85,1.579201757,5049504,8318.342134,1.97E+11,0.707540168,0.284450227,3530461.368,1743.791074,1.04E+11,1.779855168,2.487395336,0.715549773,Do not include
vnm,2013,91680,1.49059318,6126231.777,8129.498656,1.82E+11,0.668904349,0.357160774,3123999.033,1710.185504,68899064296,1.203933874,1.872838223,0.642839226,Do not include
vnm,2002,82548,0.832884695,2849462.311,7686.381934,64836168890,0.279959987,0.180602219,2828969.811,1219.399759,46667355505,1.27018701,1.550146997,0.819397781,Do not include
vnm,2007,86553,1.130144464,3774840.595,7210.75721,94602106083,0.415283754,0.255841944,2975226.011,1404.499791,53596329989,1.207920588,1.623204342,0.744158056,Do not include
idn,2017,264650.96,4.120368543,4613951.93,7135.875541,2.33E+11,0.337657145,0.453895477,2504444.207,1286.819284,50498649181,0.406252328,0.743909473,0.546104523,Do not include
vnm,2004,84151,0.943092126,2918427.144,6844.042286,67028291618,0.318855065,0.1997898,2881202.344,1269.730719,49806711148,1.277097611,1.595952676,0.8002102,Do not include
vnm,2005,84948,1.004753534,3111988.044,6818.997527,73812170540,0.349109302,0.221615637,2950117.673,1334.973483,50754410244,1.226182528,1.57529183,0.778384363,Do not include
vnm,2003,83353,0.885394109,2467976.946,6742.398982,61940666426,0.301958546,0.191629874,2914930.141,1271.46151,49273303896,1.273779826,1.575738372,0.808370126,Do not include
vnm,2001,81729,0.785611117,2212899.768,6689.697688,51466988474,0.257901112,0.171851263,2676908.563,1138.075865,42193844048,1.242821708,1.50072282,0.828148737,Do not include
vnm,2006,85748,1.064836654,3268235.992,6156.683019,72116860648,0.374259777,0.24092187,2564551.213,1191.895203,43988418074,1.179188971,1.553448748,0.75907813,Do not include
idn,2009,237487,2.993223963,1758384.909,5165.410136,2.01E+11,0.449470601,0.254887124,2101453.684,946.3720173,1.08E+11,1.31393978,1.763410381,0.745112876,Do not include
idn,2008,234243,2.900420016,1546284.179,4631.690144,1.71E+11,0.431982266,0.250769474,2427966.764,1101.740384,1.22E+11,1.290644729,1.722626995,0.749230526,Do not include
idn,2015,258383.26,3.824274812,1753932.307,4475.64625,2.09E+11,0.494735388,0.199572167,7350911.999,3228.845008,6.04E+11,1.984244497,2.478979885,0.800427833,Do not include
idn,2010,240676,3.137388679,1550809.045,4382.513539,1.79E+11,0.465808293,0.258150302,2049307.411,932.4290056,1.10E+11,1.338599019,1.804407312,0.741849698,Do not include
idn,2005,224481,2.544558124,1504751.537,3937.545168,1.44E+11,0.445435874,0.268997876,2578395.002,1220.75135,1.21E+11,1.210472644,1.655908518,0.731002124,Do not include
idn,1998,202991,2.112209155,1638589.958,3810.774798,1.32E+11,0.466025385,0.253145605,2451135.974,1110.920478,1.13E+11,1.374912701,1.840938086,0.746854395,Do not include
idn,2006,227710,2.64646551,1331437.852,3745.610915,1.32E+11,0.425390382,0.255681759,2213921.405,1027.600896,1.06E+11,1.238359052,1.663749434,0.744318241,Do not include
idn,2014,255128.08,3.692986807,1682000.157,3718.738289,1.81E+11,0.521717541,0.21207861,6119850.674,2728.138971,4.92E+11,1.938302078,2.460019619,0.78792139,Do not include
irq,2002,25238,3.242403169,374738.7391,3699.15709,6263523759,0.183809585,0.114601403,424717.3089,145.7147963,1906200165,1.420093857,1.603903442,0.885398597,Do not include
idn,2013,249866,3.59097162,2325800.926,3682.656468,1.82E+11,0.541880037,0.282267362,4638814.386,2249.765941,2.83E+11,1.377860287,1.919740324,0.717732638,Do not include
sle,2017,7488.42,0.466940019,4364000.036,3559.469502,4635354754,0.47644705,0.247332495,2298190.197,1089.553476,4317856844,1.449895259,1.926342309,0.752667505,Do not include
idn,2007,230973,2.774624986,1343185.479,3522.548125,1.33E+11,0.447704586,0.26524529,2388988.244,1123.82891,1.18E+11,1.240184333,1.687888919,0.73475471,Do not include
idn,2002,215038,2.283680719,1261884.54,3396.637053,1.07E+11,0.401061322,0.242604437,2071147.711,934.1029846,91798933447,1.252087844,1.653149166,0.757395563,Do not include
idn,1999,205947,2.098359248,1339058.937,3369.81211,1.06E+11,0.418722971,0.238712535,2114976.825,948.5642435,95217182307,1.335365775,1.754088746,0.761287465,Do not include
irq,2001,24517,3.585137229,335816.9868,3324.328914,5321087077,0.178869457,0.115539114,150589.1184,52.06866118,638002512.3,1.369259574,1.548129031,0.884460886,Do not include
idn,2012,246864,3.443287229,1842517.889,3261.656596,1.64E+11,0.558719481,0.257313511,4067697.44,1906.941869,2.77E+11,1.612637472,2.171356953,0.742686489,Do not include
khm,2006,13555,0.665062503,1096387.961,3101.165862,4125201841,0.268861008,0.168969411,581088.6452,244.9291911,1602395348,1.322320531,1.591181539,0.831030589,Do not include
khm,2007,13747,0.722745305,1093613.473,3080.437423,4206306496,0.272137084,0.169765062,671770.0855,281.6296871,1880700520,1.330884646,1.60302173,0.830234938,Do not include
idn,2011,243802,3.288249636,1732443.348,3075.68841,1.50E+11,0.548955345,0.25932763,3651080.134,1719.720905,2.40E+11,1.567885595,2.11684094,0.74067237,Do not include
sle,2014,7017.15,0.567850838,903562.9421,2764.045461,5237119856,0.739764875,0.332373202,1272707.431,676.2907268,2573881351,1.485940659,2.225705534,0.667626798,Do not include
vnm,1991,70403,0.435533133,715205.2764,2763.600332,261795859.4,0.003686409,0.068297994,3491452.712,1052.638222,1360303322,0.050288953,0.053975362,0.931702006,Do not include
irq,2004,26674,3.163879352,233156.6124,2696.466688,3379212054,0.128718027,0.082149469,249964.6833,84.03910518,1176708828,1.438157931,1.566875958,0.917850531,Do not include
vnm,1992,71899,0.463343863,1215082.161,2687.031355,569596906.6,0.008077541,0.127903749,2915643.421,939.1176265,1357363053,0.055075737,0.063153278,0.872096251,Do not include
irq,2000,23801,3.609771413,278177.6922,2662.999375,3793362720,0.163970318,0.108473608,77619.38732,26.64415757,311935941.9,1.347644539,1.511614857,0.891526392,Do not include
gnb,2000,1273,0.522144648,12716.05992,2636.997943,3665427.141,0.002991531,0.003469189,277393.8953,95.28309334,38044633.51,0.859322709,0.86231424,0.996530811,Do not include
gnb,2002,1331,0.502943549,10068.70227,2636.706365,5247045.667,0.004096209,0.004128288,310312.1602,98.40235453,47238050.29,0.988133343,0.992229552,0.995871712,Do not include
tur,1990,53995,6.740497117,646829.0437,2619.243664,57024863422,1.104693864,0.321399178,604280.1533,267.3217327,12288312240,2.3324458,3.437139664,0.678600822,Do not include
gnb,2001,1302,0.520809266,12544.58919,2566.89785,3567988.012,0.0029249,0.003515872,224026.4524,77.23509755,30427539.03,0.828988069,0.831912969,0.996484128,Do not include
ita,1985,56772,26.42119897,1561489.678,2531.237832,76451938104,1.457566869,0.496342595,315221.6107,185.3795423,5681604901,1.479047649,2.936614518,0.503657405,Do not include
irq,2005,27377,3.218290707,261436.327,2494.929528,3643844575,0.146158084,0.092621013,330369.3146,112.3714352,1607817237,1.431864864,1.578022948,0.907378987,Do not include
irq,1999,23091,3.66915855,277377.7393,2451.378271,3806622748,0.184244232,0.122010819,155964.8818,54.41427408,608041422.9,1.325820473,1.510064705,0.877989181,Do not include
sle,2015,7171.91,0.441749702,912224.8161,2393.399002,4699008129,0.750003682,0.342485731,862797.9995,463.357259,1746504715,1.439879325,2.189883007,0.657514269,Do not include
ita,1984,56709,25.73058731,1409149.451,2385.841866,71763188736,1.453165971,0.489988146,435261.36,254.5903129,7970703333,1.512550616,2.965716587,0.510011854,Do not include
lbn,1995,3033,6.769082209,635973.6449,2368.613692,2771325392,1.056885673,0.477103501,47250.42694,27.05398307,34691863.58,1.158326897,2.21521257,0.522896499,Do not include
lbn,1996,3071,7.028714672,619851.837,2364.859598,2825628842,1.065950585,0.480391763,41858.05618,24.11821416,31169897.61,1.15296878,2.218919365,0.519608237,Do not include
gnb,1999,1246,0.534471061,12251.53059,2360.897401,3281647.387,0.003056356,0.003733348,199372.9411,68.7343842,25495645.13,0.815607203,0.818663559,0.996266652,Do not include
gnb,2004,1391,0.496523882,8584.748666,2352.51654,4681507.914,0.003919522,0.004350012,292064.6747,91.65780484,41748296.95,0.897117477,0.901036999,0.995649988,Do not include
irq,1993,19124,1.966052151,509323.1822,2332.616728,599505825.4,0.036819545,0.361980817,12468.50715,5.483625331,2484082.275,0.064897296,0.101716841,0.638019183,Do not include
